file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-components\src\main\java\org\apache\nifi\flow\synchronization\VersionedFlowSynchronizationContext.java,org.apache.nifi.flow.synchronization.VersionedFlowSynchronizationContext,class,12,16,4,12,10,1,0,0,27,0.8000001,0.0,0.0,10,0,9,1,0,0,9,0,0,0,9,0,0,9,0,0,9,0,0,108,9,0,0,0,0,0,0,9,0,9,0,0,1,0,29,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-framework-api\src\main\java\org\apache\nifi\controller\exception\ProcessorInstantiationException.java,org.apache.nifi.controller.exception.ProcessorInstantiationException,class,0,0,0,0,2,3,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-elasticsearch-bundle\nifi-elasticsearch-restapi-processors\src\main\java\org\apache\nifi\processors\elasticsearch\api\SearchResultsFormat.java,org.apache.nifi.processors.elasticsearch.api.SearchResultsFormat,enum,0,2,2,0,4,1,0,1,4,0.5,0.16666667,0.16666667,4,0,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,14,3,0,0,0,0,3,0,1,0,1,0,0,0,0,37,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-cluster\src\main\java\org\apache\nifi\cluster\manager\exception\DisconnectedNodeMutableRequestException.java,org.apache.nifi.cluster.manager.exception.DisconnectedNodeMutableRequestException,class,1,1,0,1,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-mock\src\main\java\org\apache\nifi\util\StandardProcessorTestRunner.java,org.apache.nifi.util.StandardProcessorTestRunner,class,48,52,4,48,186,1,0,184,4173,0.9416267,0.14814815,0.4588855,110,0,104,1,0,5,109,0,0,0,19,0,0,19,0,0,13,0,22,720,48,18,23,14,3,50,12,105,28,94,4,2,1,4,292,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-extension-utils\nifi-listed-entity\src\main\java\org\apache\nifi\processor\util\list\ListedEntity.java,org.apache.nifi.processor.util.list.ListedEntity,class,2,3,1,2,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,2,0,2,0,2,0,0,0,0,7,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-api\src\main\java\org\apache\nifi\registry\VariableDescriptor.java,org.apache.nifi.registry.VariableDescriptor,class,2,6,4,2,13,1,0,6,2,0.6296297,0.4722222,0.7777778,9,0,8,0,1,0,9,0,0,0,3,0,0,3,0,0,3,0,0,71,11,0,3,0,1,2,3,4,3,4,1,0,1,0,85,17,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-aws-bundle\nifi-aws-processors\src\main\java\org\apache\nifi\processors\aws\ml\textract\TextractType.java,org.apache.nifi.processors.aws.ml.textract.TextractType,enum,1,6,5,1,3,1,0,11,0,0.5,0.33333334,0.33333334,3,1,2,0,0,1,3,0,0,0,2,1,2,0,0,0,2,0,6,12,2,0,0,0,0,4,0,2,0,3,0,0,0,2,36,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-email-bundle\nifi-email-processors\src\main\java\org\apache\nifi\processors\email\ListenSMTP.java,org.apache.nifi.processors.email.ListenSMTP,class,19,21,2,19,12,2,0,43,9,0.8181818,0.3,0.3,6,0,4,1,1,0,5,0,0,0,11,10,1,3,1,6,10,0,2,77,4,0,3,2,0,59,2,24,6,22,2,0,0,1,176,1,3
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-api\src\main\java\org\apache\nifi\controller\NodeTypeProvider.java,org.apache.nifi.controller.NodeTypeProvider,interface,1,19,18,1,8,1,0,3,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2,26,4,0,0,0,0,2,0,0,0,0,1,0,0,0,72,1,0
